Date,Reported
02-28-2020,1
03-02-2020,1
03-03-2020,1
03-05-2020,1
03-06-2020,1
03-07-2020,1
03-08-2020,1
03-09-2020,1
03-10-2020,1
03-11-2020,1
03-12-2020,1
03-13-2020,2
03-14-2020,3
03-15-2020,3
03-16-2020,1
03-17-2020,5
03-18-2020,6
03-19-2020,17
03-20-2020,10
03-21-2020,10
03-22-2020,20
03-23-2020,14
03-24-2020,9
03-25-2020,17
03-26-2020,17
03-27-2020,35
03-28-2020,28
03-29-2020,31
03-30-2020,22
03-31-2020,31
04-01-2020,28
04-02-2020,39
04-03-2020,23
04-04-2020,15
04-05-2020,18
04-06-2020,22
04-07-2020,21
04-08-2020,9
04-09-2020,11
04-10-2020,20
04-11-2020,14
04-12-2020,4
04-13-2020,6
04-14-2020,11
04-15-2020,11
04-16-2020,9
04-17-2020,20
04-18-2020,8
04-19-2020,4
04-20-2020,2
04-21-2020,6
04-22-2020,5
04-23-2020,3
04-24-2020,2
04-25-2020,2
04-26-2020,1
04-27-2020,1
04-28-2020,4
04-29-2020,4
04-30-2020,1
05-01-2020,1
05-02-2020,3
05-03-2020,1
05-04-2020,3
05-05-2020,1
05-06-2020,2
05-07-2020,1
05-08-2020,2
05-09-2020,1
05-10-2020,2
05-11-2020,1
05-12-2020,3
05-13-2020,1
05-14-2020,1
05-15-2020,2
05-16-2020,1
05-17-2020,1
05-18-2020,1
05-19-2020,1
05-20-2020,4
05-21-2020,1
05-22-2020,1
05-23-2020,1
05-24-2020,1
05-25-2020,1
05-26-2020,1
05-27-2020,2
05-28-2020,3
05-29-2020,3
05-30-2020,1
05-31-2020,1
06-01-2020,1
06-02-2020,1
06-03-2020,1
06-04-2020,6
06-05-2020,8
06-06-2020,1
06-07-2020,1
06-08-2020,6
06-09-2020,4
06-10-2020,6
06-11-2020,15
06-12-2020,17
06-13-2020,5
06-14-2020,8
06-15-2020,3
06-16-2020,5
06-17-2020,18
06-18-2020,26
06-19-2020,12
06-20-2020,10
06-21-2020,4
06-22-2020,3
06-23-2020,13
06-24-2020,15
06-25-2020,16
06-26-2020,6
06-27-2020,26
06-28-2020,2
06-29-2020,18
06-30-2020,7
07-01-2020,20
07-02-2020,28
07-03-2020,24
07-04-2020,25
07-05-2020,7
07-06-2020,41
07-07-2020,22
07-08-2020,34
07-09-2020,27
07-10-2020,41
07-11-2020,20
07-12-2020,20
07-13-2020,22
07-14-2020,28
07-15-2020,19
07-16-2020,23
07-17-2020,19
07-18-2020,28
07-19-2020,12
07-20-2020,24
07-21-2020,17
07-22-2020,54
07-23-2020,58
07-24-2020,69
07-25-2020,64
07-26-2020,28
07-27-2020,47
07-28-2020,110
07-29-2020,123
07-30-2020,122
07-31-2020,87
08-01-2020,45
08-02-2020,207
08-03-2020,143
08-04-2020,170
08-05-2020,150
08-06-2020,201
08-07-2020,229
08-08-2020,151
08-09-2020,139
08-10-2020,120
08-11-2020,200
08-12-2020,353
08-13-2020,231
08-14-2020,283
08-15-2020,218
08-16-2020,173
08-17-2020,134
08-18-2020,261
08-19-2020,235
08-20-2020,230
08-21-2020,280
08-22-2020,247
08-23-2020,169
08-24-2020,215
08-25-2020,275
08-26-2020,304
08-27-2020,264
08-28-2020,310
08-29-2020,199
08-30-2020,130
08-31-2020,179
09-01-2020,339
09-02-2020,208
09-03-2020,266
09-04-2020,218
09-05-2020,161
09-06-2020,104
09-07-2020,66
09-08-2020,100
09-09-2020,167
09-10-2020,167
09-11-2020,127
09-12-2020,114
09-13-2020,80
09-14-2020,65
09-15-2020,98
09-16-2020,156
09-17-2020,119
09-18-2020,112
09-19-2020,77
09-20-2020,55
09-21-2020,62
09-22-2020,167
09-23-2020,90
09-24-2020,111
09-25-2020,127
09-26-2020,95
09-27-2020,89
09-28-2020,85
09-29-2020,121
09-30-2020,107
10-01-2020,85
10-02-2020,133
10-03-2020,69
10-04-2020,51
10-05-2020,80
10-06-2020,109
10-07-2020,101
10-08-2020,151
10-09-2020,73
10-10-2020,103
10-11-2020,42
10-12-2020,62
10-13-2020,98
10-14-2020,88
10-15-2020,89
10-16-2020,94
10-17-2020,82
10-18-2020,36
10-19-2020,84
10-20-2020,77
10-21-2020,99
10-22-2020,128
10-23-2020,89
10-24-2020,119
10-25-2020,35
10-26-2020,64
10-27-2020,55
10-28-2020,70
10-29-2020,93
10-30-2020,62
10-31-2020,79
11-01-2020,73
11-02-2020,83
11-03-2020,150
11-04-2020,91
11-05-2020,115
11-06-2020,124
11-07-2020,126
