Date,Reported
08-01-2020,1
08-02-2020,6
08-03-2020,0
08-04-2020,0
08-05-2020,2
08-06-2020,1
08-07-2020,3
08-08-2020,1
08-09-2020,1
08-10-2020,4
08-11-2020,1
08-12-2020,6
08-13-2020,9
08-14-2020,7
08-15-2020,14
08-16-2020,8
08-17-2020,6
08-18-2020,21
08-19-2020,2
08-20-2020,6
08-21-2020,9
08-22-2020,12
08-23-2020,9
08-24-2020,3
08-25-2020,8
08-26-2020,7
08-27-2020,7
08-28-2020,7
08-29-2020,4
08-30-2020,1
08-31-2020,5
09-01-2020,2
09-02-2020,3
09-03-2020,1
09-04-2020,4
09-05-2020,3
09-06-2020,4
09-07-2020,2
09-08-2020,1
09-09-2020,3
09-10-2020,4
09-11-2020,7
09-12-2020,2
09-13-2020,2
09-14-2020,0
09-15-2020,0
09-16-2020,3
09-17-2020,0
09-18-2020,2
09-19-2020,1
09-20-2020,0
09-21-2020,0
09-22-2020,1
09-23-2020,2
09-24-2020,0
09-25-2020,0
09-26-2020,0
09-27-2020,0
09-28-2020,2
09-29-2020,1
09-30-2020,0
10-01-2020,0
10-02-2020,3
10-03-2020,1
10-04-2020,0
10-05-2020,1
10-06-2020,1
10-07-2020,1
10-08-2020,0
10-09-2020,0
10-10-2020,0
10-11-2020,0
10-12-2020,11
10-13-2020,1
10-14-2020,1
10-15-2020,0
10-16-2020,0
10-17-2020,0
10-18-2020,0
10-19-2020,2
10-20-2020,4
10-21-2020,18
10-22-2020,28
10-23-2020,15
10-24-2020,18
10-25-2020,0
10-26-2020,11
10-27-2020,9
10-28-2020,2
10-29-2020,5
10-30-2020,1
10-31-2020,0
11-01-2020,3
11-02-2020,3
11-03-2020,5
11-04-2020,2
11-05-2020,7
11-06-2020,2
11-07-2020,2
11-08-2020,0
11-09-2020,5
11-10-2020,6
11-11-2020,6
11-12-2020,1
11-13-2020,1
11-14-2020,7
11-15-2020,2
11-16-2020,2
11-17-2020,9
11-18-2020,5
11-19-2020,11
11-20-2020,4
11-21-2020,11
11-22-2020,4
11-23-2020,4
11-24-2020,14
11-25-2020,4
11-26-2020,9
11-27-2020,3
11-28-2020,10
11-29-2020,4
11-30-2020,4
12-01-2020,14
12-02-2020,15
12-03-2020,17
